Company Name,HeadQuarter,Sector,Amount($),Stage,Year Funded
Tranzmeo,Cochin,Technology,1300000.0,Pre Seed Stage ,2018
SBI Life,Mumbai,Finance,742000000.0,Others Stage ,2018
Studds Accessories,Faridabad,E-Commerce,14619883.040935671,Others Stage ,2018
Design Cafe,Bengaluru,Marketing,29239766.081871342,Series Stage ,2018
NoPaperForms Solutions Pvt. Ltd.,New Delhi,Technology,3980000.0,Series Stage ,2018
Rays Power Infra,Jaipur,Marketing,29239766.081871342,Series Stage ,2018
AuthMetrik,Gurgaon,Marketing,10000.0,Later Stage ,2018
Khidki,Bangalore,Technology,1300000.0,Seed Stage ,2018
LetsTransport,Bangalore,Transport,14619883.040935671,Series Stage ,2018
Next Digital Solutions,Kota,Technology,1461.9883040935672,Others Stage ,2018
Portea Medical,Bangalore,Healthcare,3654970.7602339177,Debt Stage ,2018
Aavas Financiers,Jaipur,Finance,29239766.081871342,Debt Stage ,2018
Swiggy,Bangalore,Transport,1000000000.0,Series Stage ,2018
Milkbasket,Haryana,E-Commerce,7000000.0,Series Stage ,2018
Nutrisattva (Proliva),Anand,Technology,1300000.0,Others Stage ,2018
Toppr,Mumbai,Technology,35000000.0,Series Stage ,2018
Jagaran Microfin,Kolkata,Marketing,8040935.672514619,Debt Stage ,2018
Vivriti Capital,Chennai,Finance,28500000.0,Series Stage ,2018
Be U Salons,New Delhi,Technology,438596.4912280701,Seed Stage ,2018
Impact Guru,Mumbai,Marketing,2000000.0,Series Stage ,2018
MobiKwik,Gurgaon,Finance,3508771.929824561,Series Stage ,2018
Stones2Milestones,Gurgaon,Education,1300000.0,Seed Stage ,2018
Generico,Mumbai,Healthcare,1300000.0,Series Stage ,2018
Adiuvo Diagnostics,Chennai,Healthcare,1300000.0,Seed Stage ,2018
DataTrained,Bangalore,Technology,1754385.9649122804,Seed Stage ,2018
OneAssist,Mumbai,Finance,2400000.0,Debt Stage ,2018
Satin Creditcare Network Limited (SCNL),New Delhi,Finance,30000000.0,Debt Stage ,2018
APAC Financial Services,Mumbai,Finance,36549707.60233918,Others Stage ,2018
Moglix,Noida,Marketing,23000000.0,Series Stage ,2018
SEDEMAC Mechatronics,Mumbai,Transport,1300000.0,Series Stage ,2018
MadGuy Labs,Hyderabad,Education,150000.0,Series Stage ,2018
Dee Dee Labs,Pune,Technology,1300000.0,Seed Stage ,2018
FLEECA,Jaipur,Marketing,1300000.0,Seed Stage ,2018
Shop101,Mumbai,Technology,11000000.0,Series Stage ,2018
FeedMyPockets,Bangalore,Marketing,643274.8538011695,Seed Stage ,2018
Housejoy,Bengaluru,Marketing,3240000.0,Series Stage ,2018
Ambee,Bangalore,Healthcare,1300000.0,Others Stage ,2018
FoodBuddy,Belgaum,Transport,877192.9824561402,Seed Stage ,2018
Ninjacart,Bengaluru,Marketing,36549707.60233918,Series Stage ,2018
Olly Smart Credit Card,New Delhi,Finance,1300000.0,Seed Stage ,2018
Zestl,Pune,Technology,1300000.0,Seed Stage ,2018
BYJU’S,Bangalore,Technology,540000000.0,Others Stage ,2018
Wakefit,Bangalore,Marketing,9502923.976608187,Series Stage ,2018
Hero Electric,New Delhi,Marketing,23391812.865497075,Series Stage ,2018
Pentation Analytics,Mumbai,Technology,1300000.0,Seed Stage ,2018
PerkFinance,Bangalore,Finance,900000.0,Seed Stage ,2018
Roposo,Gurgaon,Technology,10000000.0,Series Stage ,2018
Plum Goodness,Thane,Marketing,1300000.0,Series Stage ,2018
Drstore,Mumbai,Technology,1300000.0,Seed Stage ,2018
Wow Venue,Mumbai,Marketing,1500000.0,Series Stage ,2018
Chizel,Pune,Technology,1300000.0,Seed Stage ,2018
OTO Capital,Mumbai,Transport,730994.1520467836,Seed Stage ,2018
